wave,Re,Im
4.43E-02,0.8228,1.64E-01
4.51E-02,0.825,1.73E-01
4.59E-02,0.8255,1.83E-01
4.68E-02,0.8258,1.95E-01
4.77E-02,0.8263,2.08E-01
4.86E-02,0.8281,2.23E-01
4.96E-02,0.8347,2.40E-01
5.06E-02,0.8428,2.50E-01
5.17E-02,0.8483,2.59E-01
5.28E-02,0.8505,2.68E-01
5.39E-02,0.8497,2.79E-01
5.51E-02,0.8489,2.97E-01
5.64E-02,0.8519,3.19E-01
5.77E-02,0.8566,3.40E-01
5.90E-02,0.8647,3.66E-01
6.05E-02,0.8797,3.92E-01
6.20E-02,0.897,4.16E-01
6.36E-02,0.9173,4.40E-01
6.53E-02,0.94,4.64E-01
6.70E-02,0.9679,4.92E-01
6.89E-02,1.0093,5.17E-01
7.08E-02,1.0536,5.28E-01
7.29E-02,1.0986,5.33E-01
7.38E-02,1.1183,5.34E-01
7.51E-02,1.1449,5.31E-01
7.75E-02,1.1885,5.24E-01
8.00E-02,1.2273,5.10E-01
8.27E-02,1.2629,5.00E-01
8.55E-02,1.3117,4.99E-01
8.86E-02,1.3807,4.68E-01
9.18E-02,1.4091,3.80E-01
9.30E-02,1.4028,3.60E-01
9.54E-02,1.3948,3.39E-01
9.92E-02,1.3964,3.18E-01
1.03E-01,1.4047,2.91E-01
1.08E-01,1.3981,2.51E-01
1.10E-01,1.3886,2.44E-01
1.13E-01,1.3806,2.39E-01
1.14E-01,1.3772,2.39E-01
1.18E-01,1.3783,2.44E-01
1.21E-01,1.3929,2.47E-01
1.24E-01,1.4061,2.24E-01
1.27E-01,1.3999,1.95E-01
1.30E-01,1.3777,1.74E-01
1.31E-01,1.3607,1.72E-01
1.32E-01,1.3389,1.80E-01
1.33E-01,1.321,1.94E-01
1.35E-01,1.303,2.13E-01
1.36E-01,1.2871,2.43E-01
1.37E-01,1.2849,2.71E-01
1.38E-01,1.2851,2.89E-01
1.39E-01,1.297,3.34E-01
1.39E-01,1.3151,3.44E-01
1.41E-01,1.3575,3.82E-01
1.43E-01,1.413,4.01E-01
1.44E-01,1.4525,4.07E-01
1.44E-01,1.4845,4.05E-01
1.45E-01,1.5157,3.89E-01
1.46E-01,1.5484,3.77E-01
1.47E-01,1.5729,3.45E-01
1.48E-01,1.5915,3.32E-01
1.48E-01,1.6021,3.15E-01
1.49E-01,1.6077,2.98E-01
1.49E-01,1.6156,2.74E-01
1.51E-01,1.622,2.28E-01
1.53E-01,1.6311,1.98E-01
1.54E-01,1.6345,1.72E-01
1.55E-01,1.6363,1.56E-01
1.57E-01,1.6353,1.10E-01
1.58E-01,1.6309,8.30E-02
1.59E-01,1.6214,5.80E-02
1.61E-01,1.5818,2.20E-02
1.63E-01,1.5482,8.47E-03
1.65E-01,1.5225,3.26E-03
1.67E-01,1.5027,1.26E-03
1.69E-01,1.487,4.84E-04
1.71E-01,1.4743,1.86E-04
1.73E-01,1.4635,7.17E-05
1.75E-01,1.4543,2.76E-05
1.77E-01,1.4462,1.06E-05
1.79E-01,1.439,4.08E-06
1.81E-01,1.4326,1.57E-06
1.83E-01,1.4268,5.40E-07
1.85E-01,1.4215,1.83E-07
1.87E-01,1.4167,6.22E-08
1.89E-01,1.4122,2.11E-08
1.91E-01,1.4081,7.18E-09
1.93E-01,1.4043,2.44E-09
1.95E-01,1.4007,8.29E-10
1.97E-01,1.3974,2.82E-10
1.99E-01,1.3943,9.57E-11
2.01E-01,1.3914,3.25E-11
2.02E-01,1.3901,2.00E-11
2.10E-01,1.3801,2.00E-11
2.50E-01,1.3509,2.00E-11
3.00E-01,1.3339,2.00E-11
3.50E-01,1.3249,2.00E-11
3.90E-01,1.3203,2.00E-11
4.00E-01,1.3194,2.37E-11
4.10E-01,1.3185,2.67E-11
4.20E-01,1.3177,3.14E-11
4.30E-01,1.317,4.14E-11
4.40E-01,1.3163,6.27E-11
4.50E-01,1.3157,9.24E-11
4.60E-01,1.3151,1.33E-10
4.70E-01,1.3145,1.96E-10
4.80E-01,1.314,2.86E-10
4.90E-01,1.3135,4.17E-10
5.00E-01,1.313,5.89E-10
5.10E-01,1.3126,8.04E-10
5.20E-01,1.3121,1.08E-09
5.30E-01,1.3117,1.41E-09
5.40E-01,1.3114,1.81E-09
5.50E-01,1.311,2.29E-09
5.60E-01,1.3106,2.84E-09
5.70E-01,1.3103,3.46E-09
5.80E-01,1.31,4.16E-09
5.90E-01,1.3097,4.93E-09
6.00E-01,1.3094,5.73E-09
6.10E-01,1.3091,6.89E-09
6.20E-01,1.3088,8.58E-09
6.30E-01,1.3085,1.04E-08
6.40E-01,1.3083,1.22E-08
6.50E-01,1.308,1.43E-08
6.60E-01,1.3078,1.66E-08
6.70E-01,1.3076,1.89E-08
6.80E-01,1.3073,2.09E-08
6.90E-01,1.3071,2.40E-08
7.00E-01,1.3069,2.90E-08
7.10E-01,1.3067,3.44E-08
7.20E-01,1.3065,4.03E-08
7.30E-01,1.3062,4.30E-08
7.40E-01,1.306,4.92E-08
7.50E-01,1.3059,5.87E-08
7.60E-01,1.3057,7.08E-08
7.70E-01,1.3055,8.58E-08
7.80E-01,1.3053,1.02E-07
7.90E-01,1.3051,1.18E-07
8.00E-01,1.3049,1.34E-07
8.10E-01,1.3047,1.40E-07
8.20E-01,1.3046,1.43E-07
8.30E-01,1.3044,1.45E-07
8.40E-01,1.3042,1.51E-07
8.50E-01,1.304,1.83E-07
8.60E-01,1.3039,2.15E-07
8.70E-01,1.3037,2.65E-07
8.80E-01,1.3035,3.35E-07
8.90E-01,1.3033,3.92E-07
9.00E-01,1.3032,4.20E-07
9.10E-01,1.303,4.44E-07
9.20E-01,1.3028,4.74E-07
9.30E-01,1.3027,5.11E-07
9.40E-01,1.3025,5.53E-07
9.50E-01,1.3023,6.02E-07
9.60E-01,1.3022,7.55E-07
9.70E-01,1.302,9.26E-07
9.80E-01,1.3019,1.12E-06
9.90E-01,1.3017,1.33E-06
1.00E+00,1.3015,1.62E-06
1.01E+00,1.3014,2.00E-06
1.02E+00,1.3012,2.25E-06
1.03E+00,1.301,2.33E-06
1.04E+00,1.3009,2.33E-06
1.05E+00,1.3007,2.17E-06
1.06E+00,1.3005,1.96E-06
1.07E+00,1.3003,1.81E-06
1.08E+00,1.3002,1.74E-06
1.09E+00,1.3,1.73E-06
1.10E+00,1.2998,1.70E-06
1.11E+00,1.2997,1.76E-06
1.12E+00,1.2995,1.82E-06
1.13E+00,1.2993,2.04E-06
1.14E+00,1.2991,2.25E-06
1.15E+00,1.299,2.29E-06
1.16E+00,1.2988,3.04E-06
1.17E+00,1.2986,3.84E-06
1.18E+00,1.2984,4.77E-06
1.19E+00,1.2982,5.76E-06
1.20E+00,1.298,6.71E-06
1.21E+00,1.2979,8.66E-06
1.22E+00,1.2977,1.02E-05
1.23E+00,1.2975,1.13E-05
1.24E+00,1.2973,1.22E-05
1.25E+00,1.2971,1.29E-05
1.26E+00,1.2969,1.32E-05
1.27E+00,1.2967,1.35E-05
1.28E+00,1.2965,1.33E-05
1.29E+00,1.2963,1.32E-05
1.30E+00,1.2961,1.32E-05
1.31E+00,1.2959,1.31E-05
1.32E+00,1.2957,1.32E-05
1.33E+00,1.2955,1.32E-05
1.34E+00,1.2953,1.34E-05
1.35E+00,1.2951,1.39E-05
1.36E+00,1.2949,1.42E-05
1.37E+00,1.2946,1.48E-05
1.38E+00,1.2944,1.58E-05
1.39E+00,1.2941,1.74E-05
1.40E+00,1.2939,1.98E-05
1.41E+00,1.2937,3.44E-05
1.42E+00,1.2934,5.96E-05
1.43E+00,1.2931,1.03E-04
1.44E+00,1.2929,1.52E-04
1.45E+00,1.2927,2.03E-04
1.46E+00,1.2924,2.94E-04
1.47E+00,1.2921,3.99E-04
1.48E+00,1.292,4.94E-04
1.49E+00,1.2918,5.53E-04
1.50E+00,1.2916,5.37E-04
1.52E+00,1.2914,5.14E-04
1.53E+00,1.2912,4.91E-04
1.54E+00,1.2909,4.59E-04
1.56E+00,1.2903,3.86E-04
1.59E+00,1.2897,3.11E-04
1.61E+00,1.289,2.66E-04
1.65E+00,1.2879,2.36E-04
1.68E+00,1.287,2.05E-04
1.70E+00,1.2863,1.88E-04
1.73E+00,1.2853,1.65E-04
1.76E+00,1.2843,1.52E-04
1.80E+00,1.2828,1.41E-04
1.83E+00,1.2816,1.30E-04
1.84E+00,1.2811,1.31E-04
1.85E+00,1.2807,1.34E-04
1.86E+00,1.2805,1.38E-04
1.86E+00,1.2802,1.43E-04
1.87E+00,1.2797,1.63E-04
1.89E+00,1.2788,2.57E-04
1.91E+00,1.278,4.08E-04
1.92E+00,1.2771,7.06E-04
1.94E+00,1.2762,1.11E-03
1.96E+00,1.2756,1.44E-03
1.98E+00,1.275,1.61E-03
2.00E+00,1.2744,1.64E-03
2.02E+00,1.2736,1.57E-03
2.04E+00,1.2728,1.46E-03
2.06E+00,1.2718,1.27E-03
2.08E+00,1.2707,1.02E-03
2.11E+00,1.2694,7.59E-04
2.13E+00,1.2677,5.26E-04
2.15E+00,1.2663,4.03E-04
2.17E+00,1.2648,3.24E-04
2.19E+00,1.2633,2.71E-04
2.22E+00,1.2609,2.23E-04
2.24E+00,1.2591,2.04E-04
2.25E+00,1.2587,2.03E-04
2.25E+00,1.2582,2.04E-04
2.26E+00,1.2573,2.08E-04
2.27E+00,1.2564,2.17E-04
2.29E+00,1.2545,2.54E-04
2.31E+00,1.2525,3.14E-04
2.33E+00,1.2504,3.86E-04
2.35E+00,1.2482,4.59E-04
2.37E+00,1.2459,5.19E-04
2.39E+00,1.2435,5.61E-04
2.41E+00,1.2409,5.96E-04
2.43E+00,1.2382,6.26E-04
2.46E+00,1.2337,6.82E-04
2.50E+00,1.227,7.53E-04
2.52E+00,1.2232,7.69E-04
2.55E+00,1.2169,7.65E-04
2.57E+00,1.2135,7.47E-04
2.58E+00,1.2097,7.39E-04
2.59E+00,1.2071,7.44E-04
2.60E+00,1.2043,7.54E-04
2.62E+00,1.1983,8.06E-04
2.68E+00,1.1776,1.37E-03
2.73E+00,1.1507,3.51E-03
2.78E+00,1.1083,1.35E-02
2.82E+00,1.0657,3.25E-02
2.83E+00,1.0453,4.57E-02
2.85E+00,1.0236,6.29E-02
2.87E+00,1.0001,8.55E-02
2.88E+00,0.9747,1.20E-01
2.90E+00,0.9563,1.69E-01
2.92E+00,0.9538,2.21E-01
2.93E+00,0.9678,2.76E-01
2.95E+00,0.9873,3.12E-01
2.97E+00,1.0026,3.47E-01
2.99E+00,1.018,3.88E-01
3.00E+00,1.039,4.38E-01
3.02E+00,1.0722,4.93E-01
3.04E+00,1.1259,5.54E-01
3.06E+00,1.2089,6.12E-01
3.08E+00,1.3215,6.25E-01
3.10E+00,1.4225,5.93E-01
3.12E+00,1.4933,5.39E-01
3.14E+00,1.5478,4.91E-01
3.16E+00,1.597,4.38E-01
3.18E+00,1.6336,3.72E-01
3.20E+00,1.6477,3.00E-01
3.22E+00,1.6405,2.38E-01
3.24E+00,1.6248,1.93E-01
3.26E+00,1.6108,1.58E-01
3.28E+00,1.5905,1.21E-01
3.30E+00,1.5714,1.03E-01
3.32E+00,1.5559,8.36E-02
3.35E+00,1.5396,6.68E-02
3.37E+00,1.5241,5.31E-02
3.39E+00,1.5086,4.29E-02
3.41E+00,1.4949,3.52E-02
3.44E+00,1.4827,2.89E-02
3.46E+00,1.471,2.35E-02
3.48E+00,1.4604,1.92E-02
3.51E+00,1.4502,1.59E-02
3.53E+00,1.4411,1.33E-02
3.56E+00,1.4328,1.13E-02
3.62E+00,1.4146,8.15E-03
3.73E+00,1.3924,6.67E-03
3.78E+00,1.385,6.97E-03
3.85E+00,1.375,8.25E-03
3.97E+00,1.3623,1.11E-02
4.10E+00,1.3526,1.47E-02
4.24E+00,1.3447,1.87E-02
4.35E+00,1.3406,2.41E-02
4.39E+00,1.3401,2.66E-02
4.44E+00,1.3412,2.99E-02
4.51E+00,1.3444,3.18E-02
4.55E+00,1.3473,3.09E-02
4.56E+00,1.3482,3.01E-02
4.58E+00,1.3491,2.88E-02
4.72E+00,1.347,1.94E-02
4.90E+00,1.3379,1.35E-02
5.00E+00,1.3325,1.24E-02
5.10E+00,1.3268,1.22E-02
5.20E+00,1.3212,1.30E-02
5.26E+00,1.3176,1.38E-02
5.40E+00,1.31,1.68E-02
5.56E+00,1.3013,2.23E-02
5.71E+00,1.2933,3.26E-02
5.75E+00,1.2917,3.54E-02
5.78E+00,1.2906,3.88E-02
5.81E+00,1.2902,4.27E-02
5.85E+00,1.2904,4.64E-02
5.88E+00,1.2915,5.05E-02
6.06E+00,1.3015,6.44E-02
6.14E+00,1.3083,6.56E-02
6.25E+00,1.3152,6.36E-02
6.29E+00,1.3167,6.27E-02
6.33E+00,1.3178,6.17E-02
6.37E+00,1.3187,6.10E-02
6.41E+00,1.3194,6.03E-02
6.45E+00,1.3201,5.96E-02
6.49E+00,1.3207,5.90E-02
6.58E+00,1.3214,5.78E-02
6.67E+00,1.3219,5.70E-02
6.76E+00,1.3229,5.68E-02
6.90E+00,1.3242,5.43E-02
7.04E+00,1.3244,5.16E-02
